Identifiant,Date,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Part prise en charge (%),Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire,Lien vers données parlementaires
2011/8383,2011,SAINT-NICOLAS-DES-BIEFS,ALLIER,"l'acquisition d'un véhicule utilitaire, d'une saleuse et d'une épareuse",30922.91,14000.00,45.27,CHARASSE Gérard,Assemblée nationale,ALLIER,SRC,http://2007.nosdeputes.fr/CHARASSE%20Gérard/xml
2011/8384,2011,SAINT-NICOLAS-DES-MOTETS,INDRE-ET-LOIRE,la pose de ralentisseurs dans le bourg,13748.35,6874.00,50.00,ACCOYER Bernard,Assemblée nationale,HAUTE-SAVOIE,UMP,http://2007.nosdeputes.fr/ACCOYER%20Bernard/xml
2011/8385,2011,SAINT-NICOLAS-DE-SOMMAIRE,ORNE,"l'effacement des réseaux électriques et téléphoniques aux lieux-dits ""Saint-Pierre"" et ""La Godeterie""",15816.20,5000.00,31.61,GOULET Nathalie,Sénat,ORNE,UDI,http://nossenateurs.fr/GOULET%20Nathalie/xml
2011/8386,2011,SAINT-NICOLAS-DU-TERTRE,MORBIHAN,l'aménagement et l'extension de la mairie,374437.20,10000.00,2.67,BOUVARD Loïc,Assemblée nationale,MORBIHAN,UMP,http://2007.nosdeputes.fr/BOUVARD%20Loïc/xml
2011/8387,2011,SAINT-NICOLAS-DU-TERTRE,MORBIHAN,l'aménagement de la place de la mairie,309000.00,30000.00,9.71,de ROHAN Josselin,Sénat,MORBIHAN,UMP,http://nossenateurs.fr/de ROHAN Josselin/xml
2011/8388,2011,SAINT-NICOLAS-LA-CHAPELLE,AUBE,la réfection de la façade et le remplacement des huisseries d'un bâtiment communal,20249.06,3000.00,14.82,Gouvernement,Réserve ministérielle,#N/A,,
2011/8389,2011,SAINT-NICOLAS-LES-CITEAUX,COTE-D'OR,l'aménagement touristique du verger communal,18761.59,9380.00,50.00,RAOUL Daniel,Sénat,MAINE-ET-LOIRE,SOC,http://nossenateurs.fr/RAOUL%20Daniel/xml
2011/8390,2011,SAINT-NIZIER-LE-BOUCHOUX,AIN,la restauration des vitraux de l'église,8129.00,4064.00,49.99,BRETON Xavier,Assemblée nationale,AIN,UMP,http://2007.nosdeputes.fr/BRETON%20Xavier/xml
2011/8391,2011,SAINT-NIZIER-LE-BOUCHOUX,AIN,l'acquisition d'un défibrillateur cardiaque automatique et de divers accessoires,1952.80,976.00,49.98,GOY-CHAVENT Sylvie,Sénat,AIN,UDI,http://nossenateurs.fr/GOY-CHAVENT%20Sylvie/xml
2011/8392,2011,SAINT-NIZIER-LE-DESERT,AIN,l'acquisition de défibrillateurs cardiaques automatiques et d'armoires externes,5987.40,1050.00,17.54,GOY-CHAVENT Sylvie,Sénat,AIN,UDI,http://nossenateurs.fr/GOY-CHAVENT%20Sylvie/xml
2011/8393,2011,SAINT-NIZIER-SUR-ARROUX,SAONE-ET-LOIRE,la réhabilitation du logement de la mairie,66381.47,5000.00,7.53,ANCIAUX Jean-Paul,Assemblée nationale,SAONE-ET-LOIRE,UMP,http://2007.nosdeputes.fr/ANCIAUX%20Jean-Paul/xml
2011/8394,2011,SAINT-OMER,CALVADOS,"le réaménagement de la salle des fêtes en halte randonneurs, bibliothèque et mairie",517420.00,10000.00,1.93,COUSIN Jean-Yves,Assemblée nationale,CALVADOS,UMP,http://2007.nosdeputes.fr/COUSIN%20Jean-Yves/xml
2011/8395,2011,SAINT-OMER-CAPELLE,PAS-DE-CALAIS,la mise en accessibilité des bâtiments communaux,67888.90,2000.00,2.95,COCQUEMPOT Gilles,Assemblée nationale,PAS-DE-CALAIS,SRC,http://2007.nosdeputes.fr/COCQUEMPOT%20Gilles/xml
2011/8396,2011,SAINT-ORENS-POUY-PETIT,GERS,l'aménagement du secrétariat de la mairie dans les locaux de l'ancienne cantine scolaire,39043.00,6500.00,16.65,MARTIN Philippe,Assemblée nationale,GERS,SRC,http://2007.nosdeputes.fr/MARTIN%20Philippe/xml
2011/8397,2011,SAINT-OUEN-D'AUNIS,CHARENTE-MARITIME,l'aménagement de jardins familiaux,17577.87,8500.00,48.36,LEONARD Jean-Louis,Assemblée nationale,CHARENTE-MARITIME,UMP,http://2007.nosdeputes.fr/LEONARD%20Jean-Louis/xml
2011/8398,2011,SAINT-OUEN-D'AUNIS,CHARENTE-MARITIME,la réfection de la porte de l'école,2823.00,1400.00,49.59,LEONARD Jean-Louis,Assemblée nationale,CHARENTE-MARITIME,UMP,http://2007.nosdeputes.fr/LEONARD%20Jean-Louis/xml
2011/8399,2011,SAINT-OUEN-D'AUNIS,CHARENTE-MARITIME,la pose d'une porte deux vantaux à l'église,3700.00,1850.00,50.00,LEONARD Jean-Louis,Assemblée nationale,CHARENTE-MARITIME,UMP,http://2007.nosdeputes.fr/LEONARD%20Jean-Louis/xml
