Identifiant,Bénéficiaire,Département,Nature du projet,Coût du projet,Subvention allouée,Parlementaire transmetteur,Nature,Département Parlementaire,Groupe politique du parlementaire
2011/6326,NANTEUIL-EN-VALLEE,CHARENTE,la restauration de l'église Saint-Jean-Baptiste (1ère tranche),228543.0,9500.0,LAMBERT Jérôme,Assemblée nationale,CHARENTE,SRC
2011/6327,NANTEUIL-LES-MEAUX,SEINE-ET-MARNE,la construction du groupe scolaire Paul Bailly,981563.0,10000.0,Gouvernement,Réserve ministérielle,,
2011/6328,NANTEUIL-LES-MEAUX,SEINE-ET-MARNE,la construction d'un restaurant scolaire,688167.0,10000.0,Gouvernement,Réserve ministérielle,,
2011/6329,NANTEUIL-SUR-MARNE,SEINE-ET-MARNE,"l'enfouissement des réseaux, place Lafayette",38583.5,19000.0,BRICQ Nicole,Sénat,SEINE-ET-MARNE,SOC
2011/6330,NANTUA,AIN,l'acquisition d'un défibrillateur cardiaque automatique avec boîtier mural,1881.89,940.0,GOY-CHAVENT Sylvie,Sénat,AIN,UDI
2011/6331,NARBEFONTAINE,MOSELLE,la réfection de la rue des Fermes,273575.0,10000.0,Gouvernement,Réserve ministérielle,,
2011/6332,NARBONNE,AUDE,"le réaménagement de l'entrée, la création de bureaux et la réfection des façades, à l'école Voltaire",150000.0,45000.0,BASCOU Jacques,Assemblée nationale,AUDE,SRC
2011/6333,NARBONNE,AUDE,la réfection de la terrasse des jardins du musée,370000.0,5000.0,BASCOU Jacques,Assemblée nationale,AUDE,SRC
2011/6334,NARCASTET,PYRENEES-ATLANTIQUES,la rénovation de l'école primaire,128646.0,8000.0,LIGNIERES-CASSOU Martine,Assemblée nationale,PYRENEES-ATLANTIQUES,SRC
2011/6335,NASBINALS,LOZERE,la mise en sécurité du pont de l'école Saint-Joseph,13640.0,4500.0,MOREL-A-L'HUISSIER Pierr,Assemblée nationale,,
2011/6336,NASBINALS,LOZERE,l'aménagement du secteur est du village de Montgros,216326.37,21633.0,BLANC Jacques,Sénat,LOZERE,UMP
2011/6337,NAUCELLES,CANTAL,l'aménagement et la mise aux normes de la cuisine de la salle polyvalente,39780.0,11000.0,MEZARD Jacques,Sénat,CANTAL,RDSE
2011/6338,NAUJAC-SUR-MER,GIRONDE,la réfection du club-house commun au pelotari Médoc club et au tennis club,24641.53,2300.0,GOT Pascale,Assemblée nationale,GIRONDE,SRC
2011/6339,NAUJAN-ET-POSTIAC,GIRONDE,l'aménagement des abords de la salle multisports,45485.0,9097.0,GARRAUD Jean-Paul,Assemblée nationale,GIRONDE,UMP
2011/6340,NAVENNE,HAUTE-SAONE,l'aménagement de la rue du Général de Gaulle et de la place de la Mairie,272379.16,10000.0,KRATTINGER Yves,Sénat,HAUTE-SAONE,SOC
2011/6341,NAVES,ALLIER,la réhabilitation de la salle polyvalente,160010.0,4000.0,MALLOT Jean,Assemblée nationale,ALLIER,SRC
2011/6342,NAY,PYRENEES-ATLANTIQUES,l'aménagement d'une protection contre les volatiles et l'installation d'une sonorisation à l'église Saint-Vincent,14888.07,6000.0,BAYROU François,Assemblée nationale,PYRENEES-ATLANTIQUES,NI
2011/6343,NAZELLES-NEGRON,INDRE-ET-LOIRE,l'aménagement du centre bourg (1ère tranche),651440.3,35000.0,GREFF Claude,Assemblée nationale,INDRE-ET-LOIRE,UMP
2011/6344,NEAC,GIRONDE,"l'acquisition d'un standard téléphonique, d'une structure de jeux, d'un véhicule de type Dacia, d'un tracteur et d'une épareuse",56218.0,10000.0,GARRAUD Jean-Paul,Assemblée nationale,GIRONDE,UMP
2011/6345,NEAC,GIRONDE,"l'aménagement de sanitaires à l'école, la réfection de la toiture du préau (3ème tranche) et le remplacement des menuiseries des vestiaires de football et de la cantine scolaire (2ème tranche)",37139.45,3700.0,CESAR Gérard,Sénat,GIRONDE,UMP
2011/6346,NEAUFLES-SAINT-MARTIN,EURE,l'aménagement d'un parcours sportif dans le parc du Marais,14258.3,7000.0,BOURDIN Joël,Sénat,EURE,UMP
2011/6347,NEAUPHE-SOUS-ESSAI,ORNE,"l'aménagement d'allées piétonnes, d'un terrain de pétanque et de jeux",21413.05,5000.0,LAMBERT Alain,Assemblée nationale,VAL-DE-MARNE,UMP
2011/6348,NEBOUZAT,PUY-DE-DOME,l'acquisition d'un défibrillateur cardiaque semi- automatique et d'une armoire externe,2198.0,110.0,GISCARD d'ESTAING Louis,Assemblée nationale,PUY-DE-DOME,UMP
2011/6349,NEDON,PAS-DE-CALAIS,"la restauration des vitraux, des fenestrages et des contre-forts extérieurs de l'église",96147.4,5000.0,Gouvernement,Réserve ministérielle,,
2011/6350,NEGREPELISSE,TARN-ET-GARONNE,l'acquisition de végétaux dans le cadre de l'aménagement d'un parc sportif paysager sur le site de Lauzel,4156.57,2078.0,COLLIN Yvon,Sénat,TARN-ET-GARONNE,RDSE
2011/6351,NEHOU,MANCHE,l'aménagement du parking de l'école,102843.0,6000.0,GATIGNOL Claude,Assemblée nationale,MANCHE,UMP
2011/6352,NELLING,MOSELLE,la construction du pont de la route du Petit Rohrbach,9888.8,3000.0,MASSERET Jean-Pierre,Sénat,MOSELLE,SOCV
2011/6353,NEONS-SUR-CREUSE,INDRE,"le remplacement des menuiseries extérieures des logements communaux situés 14 et 16, place des Marronniers",10709.2,5000.0,LARCHER Gérard,Sénat,YVELINES,UMP
2011/6354,NEOULES,VAR,la construction d'une Mairie d'Honneur et l'aménagement des abords,470000.0,15000.0,SUEUR Jean-Pierre,Sénat,LOIRET,SOC
2011/6355,NEOUX,CREUSE,la réfection des locaux scolaires et l'acquisition de nouveaux matériels,42367.82,21000.0,Gouvernement,Réserve ministérielle,,
