longitude, latitude, nom
-4.48236, 48.39294, "[McDo] 29 Brest ( -K-W)"
-4.46818, 48.41828, "[McDo] 29 Brest (Gouesnou) (D- -W)"
-4.52801, 48.38753, "[McDo] 29 Brest (Le Point du Jour) (D- -W)"
-3.55235, 48.27724, "[McDo] 29 Carhaix-Plouguer (D- - )"
-4.05188, 48.21651, "[McDo] 29 Chateaulin (D- -W)"
-3.91533, 47.89008, "[McDo] 29 Concarneau (D- -W)"
-4.34757, 48.08920, "[McDo] 29 Douarnenez (D- -W)"
-4.57326, 48.42771, "[McDo] 29 Guilers (D- -W)"
-4.43688, 48.41637, "[McDo] 29 Guipavas (C.Cial les Portes de Brest) (D-K-W)"
-4.26395, 48.44984, "[McDo] 29 Landerneau (D- -W)"
-4.05306, 48.51513, "[McDo] 29 Landivisiau (D- - )"
-4.40670, 48.39923, "[McDo] 29 Le Relecq-Kerhuon (D- -W)"
-3.81548, 48.58805, "[McDo] 29 Morlaix (D- - )"
-4.21814, 47.88237, "[McDo] 29 Pont-l'Abbé (D- -W)"
-4.08712, 48.01696, "[McDo] 29 Quimper (Gourvily) (D- -W)"
-4.09537, 47.97875, "[McDo] 29 Quimper (Kerustum) (D- -W)"
-3.58929, 47.86875, "[McDo] 29 Quimperlé (D- -W)"
4.20482, 43.69245, "[McDo] 30 Aimargues (D- -W)"
4.07985, 44.12714, "[McDo] 30 Alès (Centre) (D- -W)"
4.09875, 44.10879, "[McDo] 30 Alès (D-K-W)"
4.09774, 44.14912, "[McDo] 30 Alès (Nord) (D- -W)"
4.61873, 44.17694, "[McDo] 30 Bagnols-sur-Cèze (D- -W)"
4.61513, 43.81685, "[McDo] 30 Beaucaire (D- -W)"
4.14967, 43.51679, "[McDo] 30 Le Grau-du-Roi ( - -W)"
4.74810, 43.95900, "[McDo] 30 Les Angles (D- - )"
4.29933, 43.78371, "[McDo] 30 Milhaud (D- -W)"
4.36442, 43.81104, "[McDo] 30 Nîmes (C.Cial Cap Costières) (D- -W)"
4.40288, 43.85727, "[McDo] 30 Nîmes (Courbessac - C.Cial Nîmes Soleil) (D- -W)"
4.35894, 43.83946, "[McDo] 30 Nîmes (Les Halles) ( - -W)"
4.36442, 43.82200, "[McDo] 30 Nîmes (Mas Carbonnel) (D- -W)"
4.34844, 43.81546, "[McDo] 30 Nîmes (Ville Active) (D-K-W)"
4.57571, 43.93966, "[McDo] 30 Remoulins (D- - )"
1.36747, 43.64874, "[McDo] 31 Blagnac (Grand Noble) (D- -W)"
1.37570, 43.63709, "[McDo] 31 Blagnac (Toulouse Blagnac) (D- -W)"
1.49660, 43.52054, "[McDo] 31 Castanet-Tolosan (D- -W)"
1.07651, 43.23621, "[McDo] 31 Cazères (D- - )"
1.33062, 43.61320, "[McDo] 31 Colomiers (D- -W)"
1.30516, 43.60721, "[McDo] 31 Colomiers (Perget) (D- -W)"
1.35120, 43.52938, "[McDo] 31 Cugnaux (D- -W)"
0.75984, 43.11364, "[McDo] 31 Estancarbon (D- -W)"
1.40487, 43.68690, "[McDo] 31 Fenouillet (D- -W)"
1.47181, 43.64591, "[McDo] 31 L'Union (Toulouse L'Union) (D- -W)"
1.50194, 43.55000, "[McDo] 31 Labège (Toulouse Labège) (D-K-W)"
1.31130, 43.57100, "[McDo] 31 Plaisance-du-Touch (D- -W)"
1.40050, 43.53523, "[McDo] 31 Portet-sur-Garonne (Toulouse Portet Drive) (D- -W)"
1.98283, 43.45210, "[McDo] 31 Revel ( - - )"
1.37046, 43.51120, "[McDo] 31 Roques-sur-Garonne (D- -W)"
1.51272, 43.66786, "[McDo] 31 Rouffiac-Tolosan (C.Cial Leclerc) (D- -W)"
1.51460, 43.56468, "[McDo] 31 Saint Orens-de-Gameville (D- -W)"
1.43249, 43.66176, "[McDo] 31 Toulouse (Aucamville) (D- -W)"
1.44358, 43.60497, "[McDo] 31 Toulouse (Capitole) ( - -W)"
1.43543, 43.61076, "[McDo] 31 Toulouse (Compans) ( - -W)"
1.48305, 43.60628, "[McDo] 31 Toulouse (Jean Chaubet) (D- -W)"
1.41918, 43.59467, "[McDo] 31 Toulouse (Koenigs) (D- -W)"
